Date,Year,Month,Day,Shift,TACC Sorties,High Priority Sorties,Flying Hours,Cargo (Stons),Passengers
5/23/13,2013,5,23,Swings,,,,,
5/23/13,2013,5,23,Mids,,,,,
5/24/13,2013,5,24,Day,,,,,
5/24/13,2013,5,24,Swings,,,,,
5/24/13,2013,5,24,Mids,,,,,
5/25/13,2013,5,25,Day,,,,,
5/25/13,2013,5,25,Swings,,,,,
5/25/13,2013,5,25,Mids,,,,,
5/26/13,2013,5,26,Day,,,,,
5/26/13,2013,5,26,Swings,,,,,
5/26/13,2013,5,26,Mids,,,,,
5/27/13,2013,5,27,Day,,,,,
5/27/13,2013,5,27,Swings,,,,,
5/27/13,2013,5,27,Mids,,,,,
5/28/13,2013,5,28,Day,,,,,
5/28/13,2013,5,28,Swings,,,,,
5/28/13,2013,5,28,Mids,,,,,
5/29/13,2013,5,29,Day,,,,,
5/29/13,2013,5,29,Swings,,,,,
5/29/13,2013,5,29,Mids,,,,,
5/30/13,2013,5,30,Day,,,,,
5/30/13,2013,5,30,Swings,,,,,
5/30/13,2013,5,30,Mids,,,,,
5/31/13,2013,5,31,Day,,,,,
5/31/13,2013,5,31,Swings,,,,,
5/31/13,2013,5,31,Mids,,,,,
6/1/13,2013,6,1,Day,,,,,
6/1/13,2013,6,1,Swings,,,,,
6/1/13,2013,6,1,Mids,,,,,
6/2/13,2013,6,2,Day,,,,,
6/2/13,2013,6,2,Swings,,,,,
6/2/13,2013,6,2,Mids,,,,,
6/3/13,2013,6,3,Day,,,,,
6/3/13,2013,6,3,Swings,,,,,
6/3/13,2013,6,3,Mids,,,,,
6/4/13,2013,6,4,Day,,,,,
6/4/13,2013,6,4,Swings,,,,,
6/4/13,2013,6,4,Mids,,,,,
6/5/13,2013,6,5,Day,,,,,
6/5/13,2013,6,5,Swings,,,,,
6/5/13,2013,6,5,Mids,,,,,
6/6/13,2013,6,6,Day,,,,,
6/6/13,2013,6,6,Swings,,,,,
6/6/13,2013,6,6,Mids,,,,,
6/7/13,2013,6,7,Day,,,,,
6/7/13,2013,6,7,Swings,,,,,
6/7/13,2013,6,7,Mids,,,,,
6/8/13,2013,6,8,Day,,,,,
6/8/13,2013,6,8,Swings,,,,,
6/8/13,2013,6,8,Mids,,,,,
6/9/13,2013,6,9,Day,,,,,
6/9/13,2013,6,9,Swings,,,,,
6/9/13,2013,6,9,Mids,,,,,
6/10/13,2013,6,10,Day,,,,,
6/10/13,2013,6,10,Swings,,,,,
6/10/13,2013,6,10,Mids,,,,,
6/11/13,2013,6,11,Day,,,,,
6/11/13,2013,6,11,Swings,,,,,
6/11/13,2013,6,11,Mids,,,,,
6/12/13,2013,6,12,Day,,,,,
6/12/13,2013,6,12,Swings,,,,,
6/12/13,2013,6,12,Mids,,,,,
6/13/13,2013,6,13,Day,,,,,
6/13/13,2013,6,13,Swings,,,,,
6/13/13,2013,6,13,Mids,,,,,
6/14/13,2013,6,14,Day,,,,,
6/14/13,2013,6,14,Swings,,,,,
6/14/13,2013,6,14,Mids,,,,,
6/15/13,2013,6,15,Day,,,,,
6/15/13,2013,6,15,Swings,,,,,
6/15/13,2013,6,15,Mids,,,,,
6/16/13,2013,6,16,Day,,,,,
6/16/13,2013,6,16,Swings,,,,,
6/16/13,2013,6,16,Mids,,,,,
6/17/13,2013,6,17,Day,,,,,
6/17/13,2013,6,17,Swings,,,,,
6/17/13,2013,6,17,Mids,,,,,
6/18/13,2013,6,18,Day,,,,,
6/18/13,2013,6,18,Swings,,,,,
6/18/13,2013,6,18,Mids,,,,,
6/19/13,2013,6,19,Day,,,,,
6/19/13,2013,6,19,Swings,,,,,
6/19/13,2013,6,19,Mids,,,,,
6/20/13,2013,6,20,Day,,,,,
6/20/13,2013,6,20,Swings,,,,,
6/20/13,2013,6,20,Mids,,,,,
6/21/13,2013,6,21,Day,,,,,
6/21/13,2013,6,21,Swings,,,,,
6/21/13,2013,6,21,Mids,,,,,
6/22/13,2013,6,22,Day,,,,,
6/22/13,2013,6,22,Swings,,,,,
6/22/13,2013,6,22,Mids,,,,,
6/23/13,2013,6,23,Day,,,,,
6/23/13,2013,6,23,Swings,,,,,
6/23/13,2013,6,23,Mids,,,,,
6/24/13,2013,6,24,Day,,,,,
6/24/13,2013,6,24,Swings,,,,,
6/24/13,2013,6,24,Mids,,,,,
6/25/13,2013,6,25,Day,,,,,
6/25/13,2013,6,25,Swings,,,,,
6/25/13,2013,6,25,Mids,,,,,
6/26/13,2013,6,26,Day,,,,,
6/26/13,2013,6,26,Swings,,,,,
6/26/13,2013,6,26,Mids,,,,,
6/27/13,2013,6,27,Day,,,,,
6/27/13,2013,6,27,Swings,,,,,
6/27/13,2013,6,27,Mids,,,,,
6/28/13,2013,6,28,Day,,,,,
6/28/13,2013,6,28,Swings,,,,,
6/28/13,2013,6,28,Mids,,,,,
6/29/13,2013,6,29,Day,,,,,
6/29/13,2013,6,29,Swings,,,,,
6/29/13,2013,6,29,Mids,,,,,
6/30/13,2013,6,30,Day,,,,,
6/30/13,2013,6,30,Swings,,,,,
6/30/13,2013,6,30,Mids,,,,,
7/1/13,2013,7,1,Day,,,,,
7/1/13,2013,7,1,Swings,,,,,
7/1/13,2013,7,1,Mids,,,,,
7/2/13,2013,7,2,Day,,,,,
7/2/13,2013,7,2,Swings,,,,,
7/2/13,2013,7,2,Mids,,,,,
7/3/13,2013,7,3,Day,,,,,
7/3/13,2013,7,3,Swings,,,,,
7/3/13,2013,7,3,Mids,,,,,
7/4/13,2013,7,4,Day,,,,,
7/4/13,2013,7,4,Swings,,,,,
7/4/13,2013,7,4,Mids,,,,,
7/5/13,2013,7,5,Day,,,,,
7/5/13,2013,7,5,Swings,,,,,
7/5/13,2013,7,5,Mids,,,,,
7/6/13,2013,7,6,Day,,,,,
7/6/13,2013,7,6,Swings,,,,,
7/6/13,2013,7,6,Mids,,,,,
7/7/13,2013,7,7,Day,,,,,
7/7/13,2013,7,7,Swings,,,,,
7/7/13,2013,7,7,Mids,,,,,
7/8/13,2013,7,8,Day,,,,,
7/8/13,2013,7,8,Swings,,,,,
7/8/13,2013,7,8,Mids,,,,,
7/9/13,2013,7,9,Day,,,,,
7/9/13,2013,7,9,Swings,,,,,
7/9/13,2013,7,9,Mids,,,,,
7/10/13,2013,7,10,Day,,,,,
7/10/13,2013,7,10,Swings,,,,,
7/10/13,2013,7,10,Mids,,,,,
7/11/13,2013,7,11,Day,,,,,
7/11/13,2013,7,11,Swings,,,,,
7/11/13,2013,7,11,Mids,,,,,
7/12/13,2013,7,12,Day,,,,,
7/12/13,2013,7,12,Swings,,,,,
7/12/13,2013,7,12,Mids,,,,,
7/13/13,2013,7,13,Day,,,,,
7/13/13,2013,7,13,Swings,,,,,
7/13/13,2013,7,13,Mids,,,,,
7/14/13,2013,7,14,Day,,,,,
7/14/13,2013,7,14,Swings,,,,,
7/14/13,2013,7,14,Mids,,,,,
7/15/13,2013,7,15,Day,,,,,
7/15/13,2013,7,15,Swings,,,,,
7/15/13,2013,7,15,Mids,,,,,
7/16/13,2013,7,16,Day,,,,,
7/16/13,2013,7,16,Swings,,,,,
7/16/13,2013,7,16,Mids,,,,,
7/17/13,2013,7,17,Day,,,,,
7/17/13,2013,7,17,Swings,,,,,
7/17/13,2013,7,17,Mids,,,,,
7/18/13,2013,7,18,Day,,,,,
7/18/13,2013,7,18,Swings,,,,,
7/18/13,2013,7,18,Mids,,,,,
7/19/13,2013,7,19,Day,,,,,
7/19/13,2013,7,19,Swings,,,,,
7/19/13,2013,7,19,Mids,,,,,
7/20/13,2013,7,20,Day,,,,,
7/20/13,2013,7,20,Swings,,,,,
7/20/13,2013,7,20,Mids,,,,,
7/21/13,2013,7,21,Day,,,,,
7/21/13,2013,7,21,Swings,,,,,
7/21/13,2013,7,21,Mids,,,,,
7/22/13,2013,7,22,Day,,,,,
7/22/13,2013,7,22,Swings,,,,,
7/22/13,2013,7,22,Mids,,,,,
7/23/13,2013,7,23,Day,,,,,
7/23/13,2013,7,23,Swings,,,,,
7/23/13,2013,7,23,Mids,,,,,
7/24/13,2013,7,24,Day,,,,,
7/24/13,2013,7,24,Swings,,,,,
7/24/13,2013,7,24,Mids,,,,,
7/25/13,2013,7,25,Day,,,,,
7/25/13,2013,7,25,Swings,,,,,
7/25/13,2013,7,25,Mids,,,,,
7/26/13,2013,7,26,Day,,,,,
7/26/13,2013,7,26,Swings,,,,,
7/26/13,2013,7,26,Mids,,,,,
7/27/13,2013,7,27,Day,,,,,
7/27/13,2013,7,27,Swings,,,,,
7/27/13,2013,7,27,Mids,,,,,
7/28/13,2013,7,28,Day,,,,,
7/28/13,2013,7,28,Swings,,,,,
7/28/13,2013,7,28,Mids,,,,,
7/29/13,2013,7,29,Day,,,,,
7/29/13,2013,7,29,Swings,,,,,
7/29/13,2013,7,29,Mids,,,,,
7/30/13,2013,7,30,Day,,,,,
7/30/13,2013,7,30,Swings,,,,,
7/30/13,2013,7,30,Mids,,,,,
